Date ,Variety,Plot,Row,Treatment ,Flower Total Fresh_g,Flower Subsample Fresh_g,Flower Subsample Dried_g,Flower Total Dried_g,Leaf+Shoot Total Fresh_g,Leaf+Shoot Subsample Fresh_g,Leaf+Shoot Subsample Dried_g,Leaf+Shoot Total Dried_g
10/7/2021,Berry Blossom,1,1,N+,1435,340,89.79,378.9666176,4350,395,130.12,1432.967089
10/5/2021,Tahoe ,2,1,N+,4595,340,76.36,1031.982941,2595,365,128.88,916.2838356
10/7/2021,Red Bordeaux,3,1,N+,1620,310,76.75,401.0806452,2680,420,136.37,870.1704762
10/5/2021,Tahoe ,4,2,Control,1170,315,74.88,278.1257143,910,300,95.53,289.7743333
10/7/2021,Berry Blossom,5,2,Control,490,200,53.13,130.1685,545,150,51.97,188.8243333
10/7/2021,Red Bordeaux,6,2,Control,845,230,59.72,219.406087,815,310,103.31,271.6053226
10/7/2021,Red Bordeaux,7,3,N+,1445,380,101,384.0657895,1855,475,155.32,606.5654737
10/7/2021,Berry Blossom,8,3,N+,2015,330,93.01,567.924697,3440,410,139.52,1170.606829
10/5/2021,Tahoe ,9,3,N+,2475,340,78.13,568.7404412,1025,265,90.96,351.8264151
10/5/2021,Tahoe ,10,4,Control,660,320,81.2,167.475,280,130,46.1,99.29230769
10/7/2021,Red Bordeaux,11,4,Control,785,250,74.09,232.6426,1780,395,140.68,633.9503797
10/7/2021,Berry Blossom,12,4,Control,1240,360,99.45,342.55,1970,330,100.68,601.0290909
10/5/2021,Tahoe ,13,5,N+,3300,535,122.6,756.2242991,1545,275,97.47,547.6041818
10/7/2021,Berry Blossom,14,5,N+,2630,360,98.1,716.675,4405,680,244.03,1580.811985
10/7/2021,Red Bordeaux,15,5,N+,1530,310,79.82,393.9503226,3330,485,159.32,1093.887835
10/7/2021,Berry Blossom,16,6,Control,1875,290,77.27,499.5905172,2370,480,154.21,761.411875
10/7/2021,Red Bordeaux,17,6,Control,1230,305,81.24,327.6236066,1835,345,119.66,636.4524638
10/5/2021,Tahoe ,18,6,Control,1615,350,80.96,373.5725714,1290,365,110.55,390.7109589
10/5/2021,Tahoe ,19,7,N+,2190,445,107.28,527.9622472,1740,410,130.42,553.4897561
10/7/2021,Berry Blossom,20,7,N+,1840,320,86.01,494.5575,3665,400,130.42,1194.97325
10/7/2021,Red Bordeaux,21,7,N+,1435,320,77.39,347.0457813,2660,380,120.88,846.16
10/7/2021,Berry Blossom,22,8,Control,1390,270,68.09,350.5374074,840,235,79.1,282.7404255
10/7/2021,Red Bordeaux,23,8,Control,1450,310,84.33,394.4467742,1210,260,86.9,404.4192308
10/5/2021,Tahoe ,24,8,Control,550,305,74.85,134.9754098,485,305,101.6,161.5606557
